run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,robot_and_occlusion,robot_gripper,0.6595721584066077,0.6595721584066077,0.697197534188698,1,1633
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,other,plastic_object,0.6605793825471418,0.6605793825471418,0.5075409654267556,1,0
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,transparent_reflective_surfaces,"metal_part, transparent_glass",0.6617064494016971,0.6757230091899022,0.7304655923375859,2,9991
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.662672850161151,0.6791705286054234,0.8096865639752359,6,22014
zero_shot,ocid,sam_vit_h,point,other,object,0.6646683849177094,0.6646683849177094,0.6318061573507465,1,21487
zero_shot,isaac_official_unitree_g1,fastsam_x,box,transparent_reflective_surfaces,"metal_part, transparent_glass",0.6668056317563856,0.6765159238735899,0.7585211566645711,2,9991
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.6675882023317404,0.6824561951392855,0.8172465995916683,6,22014
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,transparent_reflective_surfaces,"metal_part, transparent_glass",0.6699650978869864,0.6699650978869864,0.7111361344161247,2,0
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,scene_support_and_background,"background_fixture, storage_bin, workbench",0.6727849812768446,0.6710867427797053,0.6460866627996072,3,17683
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,robot_and_occlusion,robot_gripper,0.6738442868658578,0.6738442868658578,0.7108287635525528,1,1633
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,robot_and_occlusion,robot_gripper,0.6801007566727088,0.6801007566727088,0.7091148823597224,1,1633
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.6831355016585526,0.6944379631998551,0.8469250769053972,6,22014
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,robot_and_occlusion,robot_gripper,0.6832567391622317,0.6832567391622317,0.7223549156174777,1,1633
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,scene_support_and_background,"background_fixture, storage_bin, workbench",0.6875586492507727,0.6707477886235204,0.6460763991451083,3,17683
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,scene_support_and_background,"background_fixture, storage_bin, workbench",0.6933093571825948,0.6865776769936044,0.6951475350926078,3,17683
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,transparent_reflective_surfaces,"metal_part, transparent_glass",0.7076443080238346,0.7183123458158119,0.7899545024836958,2,9991
zero_shot,blenderproc_cogar_sim,fastsam_x,box,small_parts_thin_structures,"cable, connector, screw, tool",0.7110186009350962,0.6825932601493556,0.7592517286769831,4,2368
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,robot_and_occlusion,robot_gripper,0.7126139292655833,0.7126139292655833,0.7391487725280875,1,1633
baseline,blenderproc_cogar_sim,mask_rcnn,inference,small_parts_thin_structures,"cable, connector, screw, tool",0.7167481541550305,0.6683433190037864,0.7124116743401994,4,90
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,transparent_reflective_surfaces,"metal_part, transparent_glass",0.7250206302083072,0.7285314106321734,0.786456612368464,2,9991
