dataset,model,prompt_mode,device,fps,latency_mean_ms,mIoU,mask_AP,run_type
blenderproc_cogar_sim,sam_vit_b,automatic,cuda,0.19417990097704818,5149.863579950011,0.8150274378259081,0.49843887353029354,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,point,cuda,1.688612675714026,592.2021162000055,0.827318364394468,0.7510721480435437,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,box,cuda,1.6880860570587597,592.3868607399982,0.9190885368051233,0.864104893122799,zero_shot
blenderproc_cogar_sim,sam2_hiera_large,automatic,cuda,0.17630769665829563,5671.902128799934,0.8018799442904379,0.5754954930922115,zero_shot
blenderproc_cogar_sim,fastsam_x,point,cuda,3.191068006632049,313.37470650004434,0.32534516800914215,0.08288624400864802,zero_shot
blenderproc_cogar_sim,fastsam_x,box,cuda,3.256627009318941,307.0661752600063,0.7481621436264929,0.5319313001881917,zero_shot
blenderproc_cogar_sim,fastsam_x,automatic,cuda,3.137529292800893,318.72212390001096,0.7988317178132487,0.36056264847048786,zero_shot
blenderproc_cogar_sim,yolo8_seg,inference,cuda,41.647394334909905,24.011106000016298,0.8611940808512567,0.6426217107948822,baseline
blenderproc_cogar_sim,mask_rcnn,inference,cuda,12.934753742961448,77.31109690002086,0.7895191007664695,0.5740391159591088,baseline
blenderproc_cogar_sim,deeplabv3plus,inference,cuda,40.89967489301605,24.45007209998039,0.719802264279518,,baseline
ocid,sam_vit_h,point,cuda,0.573574844327509,1743.4516347599856,0.6646683849177094,0.4618769361482581,zero_shot
ocid,sam_vit_h,box,cuda,0.5717442445140065,1749.0337849400112,0.8452409639470332,0.7329317485857256,zero_shot
ocid,sam_vit_h,automatic,cuda,0.12488763557043445,8007.197793700061,0.8382905606713064,0.3961026495928901,zero_shot
ocid,sam_vit_b,point,cuda,2.6320703034991464,379.9290614200436,0.6160080035250245,0.3927799430641681,zero_shot
ocid,sam_vit_b,box,cuda,2.6314733837361146,380.0152440000056,0.8339219829882085,0.7141484734574121,zero_shot
ocid,sam_vit_b,automatic,cuda,0.20948143290487778,4773.692761850089,0.7305978965807334,0.24102160492036337,zero_shot
ocid,sam2_hiera_large,point,cuda,1.6719531779123933,598.1028734600113,0.7585420059070903,0.612397057775292,zero_shot
ocid,sam2_hiera_large,box,cuda,1.6710134231971017,598.4392381999714,0.8659770273605177,0.7756979963789858,zero_shot
ocid,sam2_hiera_large,automatic,cuda,0.1983111328249968,5042.581249749946,0.7938377895836044,0.45985307308277434,zero_shot
ocid,fastsam_x,point,cuda,2.9787064735925934,335.7161938799254,0.4848588969528927,0.20296410767763065,zero_shot
ocid,fastsam_x,box,cuda,3.19929180271969,312.56917519993294,0.7643104971739735,0.5378681346795664,zero_shot
ocid,fastsam_x,automatic,cuda,2.97975093846257,335.5985183499797,0.7982308704892809,0.15604622409888733,zero_shot
