run_type,dataset,model,prompt_mode,evaluation_type,category,iou,boundary_f1,count
zero_shot,isaac_official_unitree_g1,fastsam_x,box,prompted_instance,transparent_glass,0.7495148166824599,0.8065198303293369,4331
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,glass_object,0.7507850278977012,0.7126626293180182,634
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,table,0.7527528147901238,0.6230593534783069,1693
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,transparent_glass,0.7549243430737441,0.7839709533635977,4331
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,screw,0.7553753781098442,0.9633009400129525,7898
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,workbench,0.7563421437567401,0.6533997483026847,150
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,plastic_object,0.7564298067347813,0.7774577654712387,32
zero_shot,ocid,sam2_hiera_large,point,prompted_instance,object,0.7585420059070903,0.737490971945824,21487
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,cable,0.7630912832886316,0.8046110158917067,408
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,table,0.7637101967196385,0.5607322566908886,1693
zero_shot,ocid,fastsam_x,box,prompted_instance,object,0.7643104971739735,0.7373700285300642,21487
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,connector,0.7646128485959615,0.8746026637485215,5457
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,cable,0.7691692795645656,0.8435121728080502,408
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,connector,0.7713403519653834,0.8750601351357099,5457
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,rubber_part,0.7717648176013695,0.9502679072405694,1707
zero_shot,blenderproc_cogar_sim,sam_vit_b,box,prompted_instance,cable,0.7752734113697163,0.8206933515854846,408
zero_shot,blenderproc_cogar_sim,sam_vit_h,automatic,automatic_class_agnostic_proposal,robot_gripper,0.7761327641077882,0.8024266584235241,1633
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,tool,0.7763484432550218,0.8132844149205778,500
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,tool,0.777557909523302,0.863469138835408,1807
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,metal_part,0.7788905868385506,0.8955962311969826,5660
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,transparent_glass,0.7791658327075138,0.8149533256135704,4331
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,tool,0.7799281865249621,0.8643482844980069,1807
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,transparent_glass,0.7810950549716605,0.815419241897679,4331
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,glass_object,0.782292483610666,0.6618620465445235,25
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,sensor_module,0.7831090343370561,0.9248913569263685,1692
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,transparent_glass,0.7837107935632205,0.8185354411823744,4331
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,rubber_part,0.7840472747258184,0.9560336652799977,1707
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,tool,0.7841075113913174,0.8826450895137568,1807
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,metal_part,0.7887226737106479,0.8998637279742505,5660
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,glass_object,0.7888980677150311,0.7337054132717842,634
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,connector,0.7894557400520741,0.907329210331908,5457
baseline,isaac_official_unitree_g1,mask_rcnn,inference,instance_segmentation,occluder,0.7902514384370056,0.7090261520480939,95
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,tool,0.7903150643195481,0.8190456509117141,500
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,robot_gripper,0.7933141177208219,0.7278928174264476,73
zero_shot,ocid,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,object,0.7938377895836044,0.7483256512304591,21487
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,cable,0.7972553053759518,0.861161461198223,408
zero_shot,ocid,fastsam_x,automatic,automatic_class_agnostic_proposal,object,0.7982308704892809,0.7489893482313883,21487
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,transparent_glass,0.7985112664927463,0.8410390299245664,4331
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,screw,0.8004429412811082,0.8900758820208194,674
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,moving_object,0.8015545206704139,0.8790213767715708,1551
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,plastic_object,0.8016522947330887,0.8384991216318698,32
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,tool,0.8032156385876726,0.8403677843332898,500
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,screw,0.8034110087969998,0.8887900214853649,674
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,tool,0.8053224697096019,0.9203860195456056,1807
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,connector,0.8094115330155383,0.9514995237952613,5457
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,background_fixture,0.8115997321297158,0.7155622907445612,403
baseline,ocid,mask_rcnn,inference,instance_segmentation,object,0.8123703626805883,0.7343935367651694,531
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,background_fixture,0.8129927120497378,0.8222093029556375,7980
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,metal_part,0.8135599823697005,0.9176124180958846,5660
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,background_fixture,0.8137616095483843,0.7344697774149008,7980
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,automatic_class_agnostic_proposal,tool,0.8146543101583203,0.8378348684773245,500
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,table,0.8172489584665219,0.6362133171081437,1693
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,sensor_module,0.818137284157172,0.9472772044220789,1692
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,storage_bin,0.8185731440277262,0.851797008989852,6712
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,glass_object,0.8202626408302369,0.8218211046369375,634
baseline,blenderproc_cogar_sim,mask_rcnn,inference,instance_segmentation,connector,0.8207027297274211,0.8713713905017992,34
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,semantic_segmentation,robot,0.826019051371164,0.85258360989407,
baseline,isaac_official_unitree_g1,mask_rcnn,inference,instance_segmentation,background_fixture,0.8263527445826268,0.6045393596847433,403
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,tool,0.8267850055696551,0.9307905467427566,1807
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,sensor_module,0.8281796048081708,0.955004866400287,1692
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,connector,0.8281909393256656,0.9602583804952344,5457
zero_shot,isaac_official_unitree_g1,fastsam_x,box,prompted_instance,occluder,0.8299288677256279,0.8622518832250704,2214
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,moving_object,0.8314074305648047,0.8727559895703636,1551
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,tool,0.8314612756803829,0.8439499224504332,500
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,robot_gripper,0.8328621140384417,0.8361415712775668,73
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,occluder,0.8333631210281379,0.857466284222965,2214
zero_shot,ocid,sam_vit_b,box,prompted_instance,object,0.8339219829882085,0.7514250642879597,21487
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,moving_object,0.8347183437589555,0.8765812867867543,1551
zero_shot,ocid,sam_vit_h,automatic,automatic_class_agnostic_proposal,object,0.8382905606713064,0.7762349661080024,21487
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,occluder,0.8392919067013098,0.7660756190535032,95
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,tool,0.8398767520977204,0.851915220755603,27
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,moving_object,0.8407231156631404,0.9042683321970676,107
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,tool,0.841139798475812,0.8692673382323883,500
zero_shot,blenderproc_cogar_sim,sam_vit_b,box,prompted_instance,robot_gripper,0.841486604578983,0.8681948452203898,1633
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,connector,0.8431179135581455,0.8952945865696161,786
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,background_fixture,0.8432560037940685,0.8184020352601858,7980
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,prompted_instance,screw,0.8432962649360337,0.9319894288647409,674
